"product_group","source_through","expected_through","max_lag_days","cadence","lag_days","status","publication_role","blocks_publication","checked_at_utc","reference_date"
"completed_game_pbp",2026-08-27,2026-08-27,4,"daily",0,"current","core_publication",TRUE,"2026-08-28 21:19:06 UTC","2026-08-28"
"pbp_analysis",2026-08-27,2026-08-27,0,"daily",0,"current","core_publication",TRUE,"2026-08-28 21:19:06 UTC","2026-08-28"
"editorial_story_engine",2026-08-27,2026-08-27,0,"daily",0,"current","core_publication",TRUE,"2026-08-28 21:19:06 UTC","2026-08-28"
"history_engine",2026-08-28,2026-08-28,0,"daily",0,"current","core_publication",TRUE,"2026-08-28 21:19:06 UTC","2026-08-28"
"retrosheet_daily_history",2026-08-28,2026-08-28,0,"daily",0,"current","core_publication",TRUE,"2026-08-28 21:19:06 UTC","2026-08-28"
"active_milestones",2026-08-02,2026-08-02,0,"daily",0,"current","core_publication",TRUE,"2026-08-28 21:19:06 UTC","2026-08-28"
"daily_recent_performances",2026-08-28,2026-08-28,0,"daily",0,"current","core_publication",TRUE,"2026-08-28 21:19:06 UTC","2026-08-28"
"fangraphs_season",2026-08-02,2026-08-28,2,"daily",26,"stale","legacy_reference",FALSE,"2026-08-28 21:19:06 UTC","2026-08-28"
"triple_a_watch",2026-08-28,2026-08-28,3,"daily",0,"current","core_publication",TRUE,"2026-08-28 21:19:06 UTC","2026-08-28"
"graphics_feed",2026-08-28,2026-08-28,2,"daily",0,"current","core_publication",TRUE,"2026-08-28 21:19:06 UTC","2026-08-28"
"daily_slate",2026-08-28,2026-08-28,0,"daily",0,"current","core_publication",TRUE,"2026-08-28 21:19:06 UTC","2026-08-28"
"daily_projections",2026-08-28,2026-08-28,0,"daily",0,"current","core_publication",TRUE,"2026-08-28 21:19:06 UTC","2026-08-28"
"daily_matchup_model",2026-08-28,2026-08-28,0,"lineup-dependent",0,"current","core_publication",TRUE,"2026-08-28 21:19:06 UTC","2026-08-28"
"daily_state_simulation",2026-08-28,2026-08-28,0,"lineup-dependent",0,"current","core_publication",TRUE,"2026-08-28 21:19:06 UTC","2026-08-28"
"phase4_baserunning",2026-08-27,2026-08-27,0,"daily",0,"current","core_publication",TRUE,"2026-08-28 21:19:06 UTC","2026-08-28"
"award_race_history",2026-07-27,2026-08-28,8,"weekly",32,"stale","legacy_reference",FALSE,"2026-08-28 21:19:06 UTC","2026-08-28"
"standings_movement",2026-08-27,2026-08-27,1,"daily",0,"current","core_publication",TRUE,"2026-08-28 21:19:06 UTC","2026-08-28"
"daily_newsletter",2026-08-28,2026-08-28,0,"daily",0,"current","core_publication",TRUE,"2026-08-28 21:19:06 UTC","2026-08-28"
